from,to,move,from_x,from_y,to_x,to_y
157,209,0.0,-82.658383,42.2478004,-82.265016,42.1943169
157,210,0.0,-82.658383,42.2478004,-82.121,42.352
157,217,0.0,-82.658383,42.2478004,-81.727894,42.961159
157,218,0.0,-82.658383,42.2478004,-82.81,42.191
157,220,0.0,-82.658383,42.2478004,-82.27,42.504
157,221,0.0,-82.658383,42.2478004,-82.8495114009887,42.1550829289583
157,224,0.0,-82.658383,42.2478004,-82.8744109,42.0125
157,227,1.0,-82.658383,42.2478004,-82.5429226999999,42.2796218
157,229,0.0,-82.658383,42.2478004,-82.202293792195,42.208005923316
157,233,0.0,-82.658383,42.2478004,-82.02441,43.15
157,236,0.0,-82.658383,42.2478004,-82.186,42.273
157,237,0.0,-82.658383,42.2478004,-81.9785776,43.1763889
157,238,0.0,-82.658383,42.2478004,-82.4599972703613,42.2312844987133
157,245,0.0,-82.658383,42.2478004,-82.1199644,42.3503825
157,246,0.0,-82.658383,42.2478004,-83.0428326274779,42.0813135783287
157,252,0.0,-82.658383,42.2478004,-82.121,42.352
157,253,0.0,-82.658383,42.2478004,-81.72043,42.4538532
157,258,0.0,-82.658383,42.2478004,-81.903835,42.9235182
157,259,0.0,-82.658383,42.2478004,-81.656121,43.4238398
158,152,0.0,-82.121,42.352,-81.747883,42.9909158
158,153,0.0,-82.121,42.352,-81.673821,43.0234011
158,157,0.0,-82.121,42.352,-82.658383,42.2478004
158,158,0.0,-82.121,42.352,-82.121,42.352
158,159,0.0,-82.121,42.352,-81.639,43.492
158,160,0.0,-82.121,42.352,-81.7032851,43.1176554
158,163,0.0,-82.121,42.352,-81.963222,43.0959662
158,164,0.0,-82.121,42.352,-80.554788,42.5861614
158,165,0.0,-82.121,42.352,-82.71,42.173
158,166,0.0,-82.121,42.352,-82.71,42.173
158,170,0.0,-82.121,42.352,-80.586241,42.5876363
158,175,0.0,-82.121,42.352,-82.3893,42.4994721
158,176,0.0,-82.121,42.352,-80.851883,42.6708456
158,177,0.0,-82.121,42.352,-82.0290898,42.361376
158,182,0.0,-82.121,42.352,-80.554322,42.5857865
158,183,0.0,-82.121,42.352,-82.121,42.352
158,186,0.0,-82.121,42.352,-81.740689,42.521339
158,187,0.0,-82.121,42.352,-82.694882,42.1441272
158,188,0.0,-82.121,42.352,-81.645,43.307
158,190,0.0,-82.121,42.352,-82.4924805978698,42.2709973107996
158,191,0.0,-82.121,42.352,-81.703,43.384
158,200,0.0,-82.121,42.352,-82.972663,42.0311969
