fac_id,fac_count,fac_type,fac_build,fac_x,fac_y,prov
"(4, 3) QC",4,3,1.0,-73.695,61.684,QC
"(1, 1) SK",1,1,0.0,-108.41689,50.1596965,SK
"(1, 2) SK",1,2,0.0,-108.62235,50.1596965,SK
"(1, 3) SK",1,3,1.0,-107.46012,50.1596965,SK
"(2, 1) SK",2,1,0.0,-108.41689,50.1596965,SK
"(2, 2) SK",2,2,0.0,-108.62235,50.1590487768684,SK
"(2, 3) SK",2,3,0.0,-106.96631,50.1596965,SK
"(3, 1) SK",3,1,0.0,-108.62235,50.0701427,SK
"(3, 2) SK",3,2,0.0,-108.62235,50.1596965,SK
"(3, 3) SK",3,3,0.0,-104.46429,50.4169767,SK
"(4, 1) SK",4,1,0.0,-108.41689,50.0701427,SK
"(4, 2) SK",4,2,0.0,-108.41689,50.0701427,SK
"(4, 3) SK",4,3,0.0,-103.04009,50.4169767,SK
