wind_farm,fac_id,deliv,prov
18,"(3, 1) AB",0.0,AB
18,"(3, 2) AB",0.0,AB
18,"(3, 3) AB",0.0,AB
18,"(4, 1) AB",0.0,AB
18,"(4, 2) AB",0.0,AB
18,"(4, 3) AB",0.0,AB
19,"(1, 1) AB",0.0,AB
19,"(1, 2) AB",0.0,AB
19,"(1, 3) AB",0.0,AB
19,"(2, 1) AB",0.0,AB
19,"(2, 2) AB",0.0,AB
19,"(2, 3) AB",0.0,AB
19,"(3, 1) AB",0.0,AB
19,"(3, 2) AB",0.0,AB
19,"(3, 3) AB",0.0,AB
19,"(4, 1) AB",0.0,AB
19,"(4, 2) AB",0.0,AB
19,"(4, 3) AB",1.0,AB
20,"(1, 1) AB",0.0,AB
20,"(1, 2) AB",0.0,AB
20,"(1, 3) AB",0.0,AB
20,"(2, 1) AB",0.0,AB
20,"(2, 2) AB",0.0,AB
20,"(2, 3) AB",0.0,AB
20,"(3, 1) AB",0.0,AB
20,"(3, 2) AB",0.0,AB
20,"(3, 3) AB",0.0,AB
20,"(4, 1) AB",0.0,AB
20,"(4, 2) AB",0.0,AB
20,"(4, 3) AB",1.0,AB
21,"(1, 1) AB",0.0,AB
21,"(1, 2) AB",0.0,AB
21,"(1, 3) AB",0.0,AB
21,"(2, 1) AB",0.0,AB
21,"(2, 2) AB",0.0,AB
21,"(2, 3) AB",0.0,AB
21,"(3, 1) AB",0.0,AB
21,"(3, 2) AB",0.0,AB
21,"(3, 3) AB",0.0,AB
21,"(4, 1) AB",0.0,AB
21,"(4, 2) AB",0.0,AB
21,"(4, 3) AB",1.0,AB
22,"(1, 1) AB",0.0,AB
22,"(1, 2) AB",0.0,AB
22,"(1, 3) AB",0.0,AB
22,"(2, 1) AB",0.0,AB
22,"(2, 2) AB",0.0,AB
22,"(2, 3) AB",0.0,AB
22,"(3, 1) AB",0.0,AB
22,"(3, 2) AB",0.0,AB
22,"(3, 3) AB",0.0,AB
22,"(4, 1) AB",0.0,AB
22,"(4, 2) AB",0.0,AB
22,"(4, 3) AB",1.0,AB
23,"(1, 1) AB",0.0,AB
23,"(1, 2) AB",0.0,AB
23,"(1, 3) AB",0.0,AB
23,"(2, 1) AB",0.0,AB
23,"(2, 2) AB",0.0,AB
23,"(2, 3) AB",0.0,AB
23,"(3, 1) AB",0.0,AB
23,"(3, 2) AB",0.0,AB
23,"(3, 3) AB",0.0,AB
23,"(4, 1) AB",0.0,AB
23,"(4, 2) AB",0.0,AB
23,"(4, 3) AB",1.0,AB
24,"(1, 1) AB",0.0,AB
24,"(1, 2) AB",0.0,AB
24,"(1, 3) AB",0.0,AB
24,"(2, 1) AB",0.0,AB
24,"(2, 2) AB",0.0,AB
24,"(2, 3) AB",0.0,AB
24,"(3, 1) AB",0.0,AB
24,"(3, 2) AB",0.0,AB
24,"(3, 3) AB",0.0,AB
24,"(4, 1) AB",0.0,AB
24,"(4, 2) AB",0.0,AB
24,"(4, 3) AB",1.0,AB
25,"(1, 1) AB",0.0,AB
25,"(1, 2) AB",0.0,AB
25,"(1, 3) AB",0.0,AB
25,"(2, 1) AB",0.0,AB
25,"(2, 2) AB",0.0,AB
25,"(2, 3) AB",0.0,AB
25,"(3, 1) AB",0.0,AB
25,"(3, 2) AB",0.0,AB
25,"(3, 3) AB",0.0,AB
25,"(4, 1) AB",0.0,AB
25,"(4, 2) AB",0.0,AB
25,"(4, 3) AB",1.0,AB
26,"(1, 1) AB",0.0,AB
26,"(1, 2) AB",0.0,AB
26,"(1, 3) AB",0.0,AB
26,"(2, 1) AB",0.0,AB
26,"(2, 2) AB",0.0,AB
26,"(2, 3) AB",0.0,AB
26,"(3, 1) AB",0.0,AB
26,"(3, 2) AB",0.0,AB
26,"(3, 3) AB",0.0,AB
26,"(4, 1) AB",0.0,AB
26,"(4, 2) AB",0.0,AB
26,"(4, 3) AB",1.0,AB
27,"(1, 1) AB",0.0,AB
27,"(1, 2) AB",0.0,AB
27,"(1, 3) AB",0.0,AB
27,"(2, 1) AB",0.0,AB
27,"(2, 2) AB",0.0,AB
27,"(2, 3) AB",0.0,AB
27,"(3, 1) AB",0.0,AB
27,"(3, 2) AB",0.0,AB
27,"(3, 3) AB",0.0,AB
27,"(4, 1) AB",0.0,AB
27,"(4, 2) AB",0.0,AB
27,"(4, 3) AB",1.0,AB
28,"(1, 1) AB",0.0,AB
28,"(1, 2) AB",0.0,AB
28,"(1, 3) AB",0.0,AB
28,"(2, 1) AB",0.0,AB
28,"(2, 2) AB",0.0,AB
28,"(2, 3) AB",0.0,AB
28,"(3, 1) AB",0.0,AB
28,"(3, 2) AB",0.0,AB
28,"(3, 3) AB",0.0,AB
28,"(4, 1) AB",0.0,AB
28,"(4, 2) AB",0.0,AB
28,"(4, 3) AB",1.0,AB
29,"(1, 1) AB",0.0,AB
29,"(1, 2) AB",0.0,AB
29,"(1, 3) AB",0.0,AB
29,"(2, 1) AB",0.0,AB
29,"(2, 2) AB",0.0,AB
29,"(2, 3) AB",0.0,AB
29,"(3, 1) AB",0.0,AB
29,"(3, 2) AB",0.0,AB
29,"(3, 3) AB",0.0,AB
29,"(4, 1) AB",0.0,AB
29,"(4, 2) AB",0.0,AB
29,"(4, 3) AB",1.0,AB
30,"(1, 1) AB",0.0,AB
30,"(1, 2) AB",0.0,AB
30,"(1, 3) AB",0.0,AB
30,"(2, 1) AB",0.0,AB
